old_name,new_name,promportal_url,raw_url,collision_resolved
"Колесо зубчатое - 1М63.02.347  .jpg","koleso_zubchatoe_-_1m63.02.347.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.02.347.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.02.347.jpg",""
"Колесо зубчатое - 1М63.02.347 .jpg","koleso_zubchatoe_-_1m63.02.347_2.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.02.347_2.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.02.347_2.jpg","Yes"
"Колесо зубчатое - 1М63.02.347.jpg","koleso_zubchatoe_-_1m63.02.347_3.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.02.347_3.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.02.347_3.jpg","Yes"
"Колесо зубчатое - 1м63.04.153  .jpg","koleso_zubchatoe_-_1m63.04.153.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.04.153.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.04.153.jpg",""
"Колесо зубчатое - 1м63.04.153 .jpg","koleso_zubchatoe_-_1m63.04.153_2.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.04.153_2.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.04.153_2.jpg","Yes"
"Колесо зубчатое - 1м63.04.153.jpg","koleso_zubchatoe_-_1m63.04.153_3.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.04.153_3.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.04.153_3.jpg","Yes"
"Колесо зубчатое - 1м63.04.155  .jpg","koleso_zubchatoe_-_1m63.04.155.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.04.155.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.04.155.jpg",""
"Колесо зубчатое - 1м63.04.155 .jpg","koleso_zubchatoe_-_1m63.04.155_2.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.04.155_2.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.04.155_2.jpg","Yes"
"Колесо зубчатое - 1м63.04.155.jpg","koleso_zubchatoe_-_1m63.04.155_3.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.04.155_3.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.04.155_3.jpg","Yes"
"Колесо зубчатое - 1м63.61.164  .jpg","koleso_zubchatoe_-_1m63.61.164.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.61.164.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.61.164.jpg",""
