old_name,new_name,raw_url,shifr,src_kb,dst_kb,status
Воротник 1П756ДФЗ.40.456.jpg,vorotnik_1p756dfz.40.456.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/vorotnik_1p756dfz.40.456.jpg,1p756dfz.40.456,344.3,52.6,OK
Воротник.jpg,vorotnik.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/vorotnik.jpg,,319.9,38.2,OK
Восстановление ходовых винтов трап 90х24 для станков глубокого сверления и растачивания — RUSSTANKO.jpg,vosstanovlenie_khodovykh_vintov_trap_90kh24_dlya_stankov_glubokogo_sverleniya_i_rastachivaniya_russtanko.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/vosstanovlenie_khodovykh_vintov_trap_90kh24_dlya_stankov_glubokogo_sverleniya_i_rastachivaniya_russtanko.jpg,,592.9,79.5,OK
Втулка бронза для станков 1м65 1н65 дип500 165.jpg,vtulka_bronza_dlya_stankov_1m65_1n65_dip500_165.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/vtulka_bronza_dlya_stankov_1m65_1n65_dip500_165.jpg,,161.4,46.4,OK
Втулка переходная центров для станков 1м65 1н65 дип500 165 рт117 рт817.jpg,vtulka_perekhodnaya_tsentrov_dlya_stankov_1m65_1n65_dip500_165_rt117_rt817.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/vtulka_perekhodnaya_tsentrov_dlya_stankov_1m65_1n65_dip500_165_rt117_rt817.jpg,,169.3,48.4,OK
Втулки охолождения (резиновые).jpg,vtulki_okholozhdeniya_rezinovye.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/vtulki_okholozhdeniya_rezinovye.jpg,,307.9,34.5,OK
"Гайка ШВП для станков РТ755Ф3 поперечная, продольная (Российского производства) — RUSSTANKO.jpg",gajka_shvp_dlya_stankov_rt755f3_poperechnaya_prodolnaya_rossijskogo_proizvodstva_russtanko.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/gajka_shvp_dlya_stankov_rt755f3_poperechnaya_prodolnaya_rossijskogo_proizvodstva_russtanko.jpg,,474.6,62.3,OK
Гайка бронза головки 1п756дф3.40.000.jpg,gajka_bronza_golovki_1p756df3.40.000.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/gajka_bronza_golovki_1p756df3.40.000.jpg,1p756df3.40.000,1276.7,46.7,OK
Гайка для горизонтално-расточного станка мод. 2657 6-ти шлицевое исполнение ..jpg,gajka_dlya_gorizontalno-rastochnogo_stanka_mod._2657_6-ti_shlitsevoe_ispolnenie.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/gajka_dlya_gorizontalno-rastochnogo_stanka_mod._2657_6-ti_shlitsevoe_ispolnenie.jpg,,183.7,54.4,OK
Гайка маточная с корпусом для станков 1м63 1м63н 16к40 1н65 1м65.jpg,gajka_matochnaya_s_korpusom_dlya_stankov_1m63_1m63n_16k40_1n65_1m65.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/gajka_matochnaya_s_korpusom_dlya_stankov_1m63_1m63n_16k40_1n65_1m65.jpg,,207.8,58.8,OK
Гайка пиноли задней бабки станка 1м63 — RUSSTANKO.jpg,gajka_pinoli_zadnej_babki_stanka_1m63_russtanko.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/gajka_pinoli_zadnej_babki_stanka_1m63_russtanko.jpg,,505.7,55.0,OK
