=== ЛОГ СБОРКИ PromIndex-500-FINAL.yml (2026-05-29) ===

СВОДКА:
  Фото — точное совпадение : 37
  Фото — нечёткое          : 4
  Фото — по типу детали    : 0
  Фото — заглушка          : 358
  (уже имели фото, не тронуты): 101
  Описания обогащены z/m (из XLS): 45
  Кинематика не найдена (оставлено без z/m): 130

ДЕТАЛИ:
offer 79 | Колесо зубчатое 16М50.70.187 | ФОТО: zaglushka: Zaglushka.jpg
offer 80 | Вал 1М63Б.40.179 | ФОТО: zaglushka: Zaglushka.jpg
offer 80 | Вал 1М63Б.40.179 | КИНЕМАТИКА: не найдена (шифр 1m63b.40.179) — описание оставлено без z/m
offer 81 | Колесо зубчатое 1А64.02.861 | ФОТО: zaglushka: Zaglushka.jpg
offer 81 | Колесо зубчатое 1А64.02.861 | КИНЕМАТИКА: z = 42, m = 4, b = 22 мм (источник: кинематическая таблица станка 1А64/165/1Н65/16М50 (cc73ab90))
offer 82 | Колесо зубчатое 1М63Н.08.175 | ФОТО: zaglushka: Zaglushka.jpg
offer 83 | Колесо зубчатое 1М63Б.70.214 | ФОТО: exact: koleso_zubchatoe_-_1m63b.70.214.jpg, koleso_zubchatoe_-_1m63b.70.214_2.jpg, koleso_zubchatoe_-_1m63b.70.214_3.jpg
offer 83 | Колесо зубчатое 1М63Б.70.214 | КИНЕМАТИКА: z = 30, m = 2.75, b = 17 мм (источник: кинематическая таблица станка 1М63 (077003d5))
offer 84 | Колесо зубчатое 1Н65.50.153 | ФОТО: zaglushka: Zaglushka.jpg
offer 85 | Блок зубчатый 1М63Б.60.282 | ФОТО: exact: koleso_zubchatoe_1m63b.60.282.jpg, koleso_zubchatoe_1m63b.60.282_2.jpg, koleso_zubchatoe_1m63b.60.282_3.jpg
offer 85 | Блок зубчатый 1М63Б.60.282 | КИНЕМАТИКА: z = 142, b = 9 мм (блок зубчатый) (источник: кинематическая таблица станка 1М63 (077003d5))
offer 86 | Гайка 1Н65.30.024 | ФОТО: zaglushka: Zaglushka.jpg
offer 87 | Колесо зубчатое 1А64.07.295 | ФОТО: zaglushka: Zaglushka.jpg
offer 88 | Колесо зубчатое 1М63Б.70.247 | ФОТО: zaglushka: Zaglushka.jpg
offer 89 | Втулка 165.02.403СБ | ФОТО: zaglushka: Zaglushka.jpg
offer 90 | Колесо зубчатое 165.02.446 | ФОТО: zaglushka: Zaglushka.jpg
offer 90 | Колесо зубчатое 165.02.446 | КИНЕМАТИКА: z = 32, m = 3.5, b = 25 мм (источник: кинематическая таблица станка 1А64/165/1Н65/16М50 (cc73ab90))
offer 91 | Колесо зубчатое 1А64.02.862 | ФОТО: zaglushka: Zaglushka.jpg
offer 91 | Колесо зубчатое 1А64.02.862 | КИНЕМАТИКА: z = 49, b = 30 мм (источник: кинематическая таблица станка 1А64/165/1Н65/16М50 (cc73ab90))
offer 92 | Колесо зубчатое 1Н65.60.177 | ФОТО: zaglushka: Zaglushka.jpg
offer 93 | Зубчатое колесо 16М50.70.161 | ФОТО: zaglushka: Zaglushka.jpg
offer 94 | Колесо зубчатое 1А64.07.362 | ФОТО: zaglushka: Zaglushka.jpg
offer 95 | Колесо зубчатое 1М63.04.159 | ФОТО: zaglushka: Zaglushka.jpg
offer 96 | Колесо зубчатое 1Н65.08.155 | ФОТО: zaglushka: Zaglushka.jpg
offer 97 | Колесо зубчатое 1А64.07.380 | ФОТО: zaglushka: Zaglushka.jpg
offer 98 | Изготовление вкладышей и захватов для станков — оснастка под заказ | ФОТО: zaglushka: Zaglushka.jpg
offer 99 | Червяк 1М63.06.150 | ФОТО: zaglushka: Zaglushka.jpg
offer 100 | Колесо зубчатое 16М50.70.193 | ФОТО: zaglushka: Zaglushka.jpg
offer 101 | Колесо зубчатое 1Н65.60.165 | ФОТО: zaglushka: Zaglushka.jpg
offer 102 | Колесо зубчатое 1М63.02.426 | ФОТО: zaglushka: Zaglushka.jpg
offer 103 | Вал 1А64.07.395 | ФОТО: zaglushka: Zaglushka.jpg
offer 103 | Вал 1А64.07.395 | КИНЕМАТИКА: не найдена (шифр 1a64.07.395) — описание оставлено без z/m
offer 104 | Колесо червячное 1Н65.50.103 | ФОТО: zaglushka: Zaglushka.jpg
offer 104 | Колесо червячное 1Н65.50.103 | КИНЕМАТИКА: не найдена (шифр 1n65.50.103) — описание оставлено без z/m
offer 105 | Колесо зубчатое 16М50.70.151 | ФОТО: zaglushka: Zaglushka.jpg
offer 106 | Вал 1А64.02.938 | ФОТО: zaglushka: Zaglushka.jpg
offer 106 | Вал 1А64.02.938 | КИНЕМАТИКА: не найдена (шифр 1a64.02.938) — описание оставлено без z/m
offer 107 | Колесо зубчатое 1А64.02.848 | ФОТО: zaglushka: Zaglushka.jpg
offer 108 | Колесо зубчатое 1М63Б.70.219 | ФОТО: exact: koleso_zubchatoe_1m63b.70.219.jpg, koleso_zubchatoe_1m63b.70.219_2.jpg, koleso_zubchatoe_1m63b.70.219_3.jpg
offer 109 | Вал шлицевой зажима / разжима кулачков 1Н983.20.292 к патронам токарных станков РТ983, 1М983, 1А983, 1Н983 | ФОТО: exact: val_zazhima_razzhima_kulachkov_-_1n983.20.292.jpg, val_zazhima_razzhima_kulachkov_-_1n983.20.292_2.jpg, val_zazhima_razzhima_kulachkov_-_1n983.20.292_3.jpg, val_zazhima_razzhima_kulachkov_-_1n983.20.292_4.jpg, val_zazhima_razzhima_kulachkov_-_1n983.20.292_5.jpg
offer 110 | Колесо зубчатое 16М50.70.188 | ФОТО: zaglushka: Zaglushka.jpg
offer 111 | Колесо зубчатое 16М50.70.194 | ФОТО: zaglushka: Zaglushka.jpg
offer 112 | Гайка 1Н65.50.101 | ФОТО: zaglushka: Zaglushka.jpg
offer 113 | Вал 1М63Б.70.203 | ФОТО: zaglushka: Zaglushka.jpg
offer 113 | Вал 1М63Б.70.203 | КИНЕМАТИКА: не найдена (шифр 1m63b.70.203) — описание оставлено без z/m
offer 114 | Вал 1М63Б.60.293 | ФОТО: zaglushka: Zaglushka.jpg
offer 115 | Шпиндель У07.20.150 | ФОТО: zaglushka: Zaglushka.jpg
offer 116 | Колесо зубчатое 1М63Б.70.169 | ФОТО: exact: koleso_zubchatoe_1m63b.70.169.jpg, koleso_zubchatoe_1m63b.70.169_2.jpg, koleso_zubchatoe_1m63b.70.169_3.jpg
offer 117 | Валик 1А64.02.880 | ФОТО: zaglushka: Zaglushka.jpg
offer 117 | Валик 1А64.02.880 | КИНЕМАТИКА: не найдена (шифр 1a64.02.880) — описание оставлено без z/m
offer 118 | Муфта обгонная 1Н65.60.900СБ или 1М65.06.900 | ФОТО: fuzzy: mufta_obgonnaya_1h65.60.900.jpg, mufta_obgonnaya_1h65.60.900_2.jpg, mufta_obgonnaya_1h65.60.900_3.jpg
offer 119 | Шкив 165.01.021 | ФОТО: zaglushka: Zaglushka.jpg
offer 119 | Шкив 165.01.021 | КИНЕМАТИКА: не найдена (шифр 165.01.021) — описание оставлено без z/m
offer 120 | Валик 1А64.07.392 | ФОТО: zaglushka: Zaglushka.jpg
offer 120 | Валик 1А64.07.392 | КИНЕМАТИКА: не найдена (шифр 1a64.07.392) — описание оставлено без z/m
offer 121 | Колесо зубчатое-муфта 1Н65.60.170 | ФОТО: zaglushka: Zaglushka.jpg
offer 122 | Колесо зубчатое У05.20.162 | ФОТО: zaglushka: Zaglushka.jpg
offer 123 | Колесо зубчатое 16М50.70.169 | ФОТО: fuzzy: koleso_zubchatoe_1m63b.70.169.jpg, koleso_zubchatoe_1m63b.70.169_2.jpg, koleso_zubchatoe_1m63b.70.169_3.jpg
offer 124 | Шпиндель 1658.03.198 | ФОТО: exact: shpindel1-_1658.03.198.jpg, shpindel2-_1658.03.198.jpg
offer 125 | Колесо зубчатое 1М63.02.172 | ФОТО: exact: koleso_zubchatoe_1m63.02.172.jpg, koleso_zubchatoe_1m63.02.172_2.jpg, koleso_zubchatoe_1m63.02.172_3.jpg
offer 126 | Колесо зубчатое 1М63Б.70.168 | ФОТО: exact: koleso_zubchatoe_1m63b.70.168.jpg, koleso_zubchatoe_1m63b.70.168_2.jpg, koleso_zubchatoe_1m63b.70.168_3.jpg
offer 127 | Колесо зубчатое 1658.06.101 | ФОТО: zaglushka: Zaglushka.jpg
offer 128 | Вал-колесо зубчатое 1М63.61.231 | ФОТО: exact: koleso_zubchatoe_1m63.61.231.jpg, koleso_zubchatoe_1m63.61.231_2.jpg, koleso_zubchatoe_1m63.61.231_3.jpg
offer 129 | Вал-колесо зубчатое 1М63Б.70.222 | ФОТО: zaglushka: Zaglushka.jpg
offer 130 | Колесо зубчатое 1М63Б.70.226 | ФОТО: exact: koleso_zubchatoe_1m63b.70.226.jpg, koleso_zubchatoe_1m63b.70.226_2.jpg, koleso_zubchatoe_1m63b.70.226_3.jpg
offer 131 | Колесо зубчатое 1М63Б.08.165 | ФОТО: zaglushka: Zaglushka.jpg
offer 132 | Вал 1658.07.162 | ФОТО: zaglushka: Zaglushka.jpg
offer 132 | Вал 1658.07.162 | КИНЕМАТИКА: не найдена (шифр 1658.07.162) — описание оставлено без z/m
offer 133 | Вал 1А64.07.371 | ФОТО: zaglushka: Zaglushka.jpg
offer 133 | Вал 1А64.07.371 | КИНЕМАТИКА: не найдена (шифр 1a64.07.371) — описание оставлено без z/m
offer 134 | Шарико-винтовая пара (ШВП) 1П756ДФ3.55.000 | ФОТО: zaglushka: Zaglushka.jpg
offer 135 | Колесо зубчатое 1М63.61.229 | ФОТО: exact: koleso_zubchatoe_-_1m63.61.229.jpg, koleso_zubchatoe_-_1m63.61.229_2.jpg, koleso_zubchatoe_-_1m63.61.229_3.jpg
offer 136 | Колесо зубчатое 16М50.70.179 | ФОТО: zaglushka: Zaglushka.jpg
offer 137 | Вал колесо зубчатое 16М50.70.174 | ФОТО: zaglushka: Zaglushka.jpg
offer 138 | Валик 1М63Н.20.182 | ФОТО: zaglushka: Zaglushka.jpg
offer 138 | Валик 1М63Н.20.182 | КИНЕМАТИКА: не найдена (шифр 1m63n.20.182) — описание оставлено без z/m
offer 139 | Зубчатое колесо 16М50.70.163 | ФОТО: zaglushka: Zaglushka.jpg
offer 140 | Ролики в сборе с вилками для люнетов станков 1М63, 1М63Н, 16К40, 1М65, 1Н65, РТ117, РТ817, РТ317 | ФОТО: zaglushka: Zaglushka.jpg
offer 141 | Колесо зубчатое 1Н65.60.181 | ФОТО: zaglushka: Zaglushka.jpg
offer 142 | Колесо зубчатое 1А64.07.381 | ФОТО: zaglushka: Zaglushka.jpg
offer 143 | Колесо зубчатое 1М63.61.164 | ФОТО: exact: koleso_zubchatoe_-_1m63.61.164.jpg, koleso_zubchatoe_-_1m63.61.164_2.jpg, koleso_zubchatoe_-_1m63.61.164_3.jpg
offer 144 | Гайка 1М64.60.102 | ФОТО: zaglushka: Zaglushka.jpg
offer 145 | Шпиндель 165.02.430 | ФОТО: zaglushka: Zaglushka.jpg
offer 146 | Вал 1М63Н.20.181 | ФОТО: zaglushka: Zaglushka.jpg
offer 146 | Вал 1М63Н.20.181 | КИНЕМАТИКА: не найдена (шифр 1m63n.20.181) — описание оставлено без z/m
offer 147 | Колесо зубчатое 16М50.70.196 | ФОТО: zaglushka: Zaglushka.jpg
offer 148 | Колесо зубчатое 1Н65.08.159 | ФОТО: zaglushka: Zaglushka.jpg
offer 149 | Колесо коническое 1Н65.40.154 | ФОТО: zaglushka: Zaglushka.jpg
offer 150 | Вал 163.07.152А | ФОТО: zaglushka: Zaglushka.jpg
offer 150 | Вал 163.07.152А | КИНЕМАТИКА: не найдена (шифр 163.07.152) — описание оставлено без z/m
offer 151 | Полугайка 1Н65.40.100 | ФОТО: zaglushka: Zaglushka.jpg
offer 152 | Колесо зубчатое 1М63.02.347 | ФОТО: exact: koleso_zubchatoe_-_1m63.02.347.jpg, koleso_zubchatoe_-_1m63.02.347_2.jpg, koleso_zubchatoe_-_1m63.02.347_3.jpg
offer 153 | Валик 1А64.02.237 | ФОТО: zaglushka: Zaglushka.jpg
offer 153 | Валик 1А64.02.237 | КИНЕМАТИКА: не найдена (шифр 1a64.02.237) — описание оставлено без z/m
offer 154 | Колесо зубчатое 1М64.60.188 | ФОТО: zaglushka: Zaglushka.jpg
offer 155 | Колесо зубчатое 1М63.61.228 | ФОТО: exact: koleso_zubchatoe_-1m63.61.228.jpg, koleso_zubchatoe_-_1m63.61.228.jpg, koleso_zubchatoe_-_1m63.61.228_2.jpg
offer 155 | Колесо зубчатое 1М63.61.228 | КИНЕМАТИКА: z = 54, b = 9 мм (источник: кинематическая таблица станка 1М63 (077003d5))
offer 156 | Венец 165.09.169 | ФОТО: zaglushka: Zaglushka.jpg
offer 157 | Маслоуказатель (Экран) для станков М39х1,5 | ФОТО: zaglushka: Zaglushka.jpg
offer 158 | Колесо зубчатое 1М63Б.60.252 | ФОТО: exact: koleso_zubchatoe_-_1m63b.60.252.jpg, koleso_zubchatoe_-_1m63b.60.252_2.jpg, koleso_zubchatoe_-_1m63b.60.252_3.jpg
offer 158 | Колесо зубчатое 1М63Б.60.252 | КИНЕМАТИКА: z = 31, b = 16 мм (источник: кинематическая таблица станка 1М63 (077003d5))
offer 159 | Колесо зубчатое 1М63Б.92.154 | ФОТО: zaglushka: Zaglushka.jpg
offer 160 | Колесо зубчатое 16М50.70.191 | ФОТО: zaglushka: Zaglushka.jpg
offer 161 | Колесо зубчатое 1М63Б.70.224 | ФОТО: zaglushka: Zaglushka.jpg
offer 162 | Колесо зубчатое 1М63Б.70.220 | ФОТО: zaglushka: Zaglushka.jpg
offer 162 | Колесо зубчатое 1М63Б.70.220 | КИНЕМАТИКА: z = 25, b = 13 мм (источник: кинематическая таблица станка 1М63 (077003d5))
offer 163 | Колесо зубчатое 1М63Б.70.228 | ФОТО: exact: koleso_zubchatoe_1m63b.70.228.jpg, koleso_zubchatoe_1m63b.70.228_2.jpg, koleso_zubchatoe_1m63b.70.228_3.jpg
